filename,left_x,left_y,right_x,right_y
frame_0_00_12_148928.jpg,174,298,308,300
frame_0_00_12_182305.jpg,173,298,308,300
frame_0_00_12_215681.jpg,173,298,308,301
frame_0_00_12_249057.jpg,173,298,308,300
frame_0_00_12_282433.jpg,173,298,308,301
frame_0_00_12_315809.jpg,173,298,308,301
frame_0_00_12_349185.jpg,173,298,308,301
frame_0_00_12_382562.jpg,173,298,308,301
frame_0_00_12_415938.jpg,173,298,308,301
frame_0_00_12_449314.jpg,173,298,308,301
frame_0_00_12_482690.jpg,173,298,308,301
frame_0_00_12_516066.jpg,173,298,308,301
frame_0_00_12_549443.jpg,173,298,308,301
frame_0_00_12_582819.jpg,173,298,308,301
frame_0_00_12_616195.jpg,173,298,308,300
frame_0_00_12_649571.jpg,173,298,308,301
frame_0_00_12_682947.jpg,173,298,308,300
frame_0_00_12_716323.jpg,173,298,308,300
frame_0_00_12_749700.jpg,173,298,308,301
frame_0_00_12_783076.jpg,173,298,308,301
frame_0_00_12_816452.jpg,173,298,308,301
frame_0_00_12_849828.jpg,173,298,308,301
frame_0_00_12_883204.jpg,173,298,308,301
frame_0_00_12_916580.jpg,173,298,308,301
frame_0_00_12_949957.jpg,173,298,308,301
frame_0_00_12_983333.jpg,173,299,308,301
frame_0_00_13_016709.jpg,173,299,308,301
frame_0_00_13_050085.jpg,173,298,308,301
frame_0_00_13_083461.jpg,174,298,308,301
frame_0_00_13_116838.jpg,174,298,308,301
frame_0_00_13_150214.jpg,174,298,308,301
frame_0_00_13_183590.jpg,174,298,308,301
frame_0_00_13_216966.jpg,173,298,308,301
frame_0_00_13_250342.jpg,174,298,308,301
frame_0_00_13_283718.jpg,174,298,308,301
frame_0_00_13_317095.jpg,174,298,308,301
frame_0_00_13_350471.jpg,174,298,308,301
frame_0_00_13_383847.jpg,174,298,308,301
frame_0_00_13_417223.jpg,174,298,308,301
frame_0_00_13_450599.jpg,174,298,308,301
frame_0_00_13_483976.jpg,174,298,308,301
frame_0_00_13_517352.jpg,173,298,308,301
frame_0_00_13_550728.jpg,174,298,308,301
